Unnamed: 0,RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
71,159,Chicken Curry,42.0,65.0,107,"c(""cumin seeds"", ""red pepper flakes"", ""turmeric"", ""ginger"", ""clove"", ""salt"", ""black pepper"", ""boneless skinless chicken breasts"", ""butter"", ""fresh ginger"", ""garlic"", ""onions"", ""cinnamon sticks"", ""bay leaf"", ""cardamom pods"", ""whole canned tomatoes"", ""plain yogurt"", ""golden raisin"", ""fresh cilantro"", ""basmati rice"", ""cashews"", ""mango chutney"")",360.1,10.7,4.9,93.2,1251.6,38.0,4.6,23.5,31.1,"c(""In a dry skillet over medium heat, toast coriander and cumin  seeds until fragrant, 1 to 2 minutes."", ""Transfer to spice grinder, add  crushed red-pepper flakes, and grind to a powder."", ""Place in a small  bowl, and add turmeric, ginger, cloves, salt, and black pepper."", ""Add  chicken, and toss to coat. Heat peanut oil in a large pot over medium-high heat.  Add  chicken, cooking until browned, 3 to 5 minutes."", ""Remove chicken."", ""Set  aside. Reduce heat, and add ginger, garlic, and onions."", 
""Cook until  softened and deep-brown in color, 8 to 10 minutes."", ""Add cinnamon  sticks, bay leaf, and cardamom pods; cook for 10 minutes."", ""Add  tomatoes, chicken stock, and cooked chicken."", ""Raise heat to medium  high, and cook until liquid is reduced, about 15 minutes."", ""Meanwhile,  toast pappadams."", ""Reduce heat to low, and stir in yogurt and  raisins."", ""Cook until warmed throughout; add cilantro."", ""Serve with  basmati rice, and garnish with cashews."")"
1171,3361,French Toast,0.0,0.0,0,"c(""eggs"", ""milk"", ""sugar"", ""nutmeg"", ""confectioners' sugar"")",413.0,12.7,5.0,269.2,682.7,56.2,1.9,14.0,17.3,"c(""Mix eggs, milk, sugar, extract and nutmeg together with mixer."", ""Slice bread in thick slices, thoroughly dip into mixture coating well, spray  griddle with butter spray and brown on both sides, sprinkle with confectioner's sugar."", ""If you don't have time to prepare this, I have used commercial eggnog and added nutmeg."", ""You can buy it in a can and keep it in your pantry."", ""Marian Allen"")"
1976,5037,Roti,0.0,0.0,0,"c(""flour"", ""baking powder"", ""salt"")",228.1,0.6,0.1,0.0,237.4,48.0,1.7,0.2,6.5,"c(""Sift flour, baking powder and salt together; add water  to make a soft dough."", ""Knead well; cover and leave for 1/2  hour."", ""Divide dough into 4 portions, form into balls."", ""Roll out  dough to thin thicknesses on floured board."", ""Apply shortening  or oil to the surface of dough."", ""Fold up each dough and set  aside. Heat large skillet or griddle; wipe with grease. Roll  out dough again on floured board until thin thickness and place  on hot griddle or in skillet, turning frequently from side to  side and rubbing surface of dough with oil or shortening."", 
""Cook  over medium heat until dough has a lightly brown color."", ""Put  into a towel and press to give a leafy effect."")"
3025,7837,Onion Rings,0.0,0.0,0,"c(""onions"", ""all-purpose flour"", ""cornmeal"", ""onion powder"", ""salt"", ""milk"", ""egg"", ""water"")",209.1,2.8,1.4,29.7,623.4,39.7,4.0,6.7,7.0,"c(""Combine flour, corn meal, onion powder, salt, milk, egg and water in a large mixing bowl and stir well and there are no lumps."", ""Add food color if you prefer a nicer color to the finished batter."", ""Slice the onions thick (about 1/2\"")."", ""Use only the outer rings for best appearance and dip into batter."", ""Drop coated rings into deep fryer and cook until golden brown."", ""Drain on paper towels and serve."")"
3790,8988,Butter Chicken,20.0,15.0,35,"c(""chicken"", ""tandoori masala"", ""garam masala"", ""lime juice"", ""cumin powder"", ""yoghurt"", ""salt"", ""tomatoes"", ""onions"", ""cashew nuts paste"", ""butter"", ""chili powder"")",308.1,21.7,7.6,99.4,108.0,5.2,0.9,2.5,22.5,"c(""Marinate the chicken in the marinade for 1 whole hour."", ""Heat oil in a non stick pan and fry the chicken for 10 minutes."", ""Remove the chicken and keep aside."", ""In the remaining oil fry the chopped onions till golden, then add the ginger-garlic paste and fry sprinkling little water now and then till oil separates."", ""Add the cashew paste, chilli pd, tomato paste and cook for 10 minutes."", ""Add the butter and the cream and the chicken."", ""Mix well and cook till done."", ""Garnish with cilantro.""
)"
4084,9437,Chai,23.0,10.0,33,"c(""cinnamon sticks"", ""allspice berries"", ""cloves"", ""peppercorns"", ""water"", ""cardamom pods"", ""fresh ginger"", ""tea bags"", ""black tea"", ""milk"", ""honey"")",69.3,1.1,0.7,4.3,23.0,14.8,0.1,13.0,1.1,"c(""With a mortar and pestle, coarsely grind the cinnamon sticks, allspice, cloves and peppercorns."", ""In a saucepan, combine the ground spices, water, cardamom pods and ginger."", ""Bring to a boil, reduce heat to medium-low, cover and simmer for 10 minutes."", ""Set aside, covered, for 10 minutes."", ""Add the tea bags or loose tea in a tea ball to a teapot."", ""Return the spiced water to a boil and pour into the teapot."", ""Let steep for 2-3 minutes , then strain the tea and serve with milk and honey on the side.""
)"
7744,14886,Palak Paneer,30.0,30.0,60,"c(""spinach"", ""panir"", ""butter"", ""onions"", ""red chili powder"", ""jeera powder"", ""cashews"", ""poppy seeds"", ""tomatoes"", ""turmeric powder"", ""salt"", ""sugar"", ""cinnamon"", ""clove"", ""black pepper"")",220.3,10.7,4.6,17.4,446.8,25.1,10.7,7.3,13.8,"c(""Soak paneer in a bowl of water for atleast 15-20 minutes. This makes the paneer soft. Drain the water. Cut paneer into cubes."", ""Set aside."", ""Wash and chop palak finely."", ""Cut onions into small pieces."", ""Cut tomatoes into 2 inch cubes."", ""Heat a little butter."", ""Fry palak till it shrinks."", ""Allow to cool."", ""Grind to a smooth paste."", ""Grind cashews and poppy seeds together to a smooth paste."", ""Fry all the spices in little ghee and then powder."", ""Heat rest of the butter with little oil and fry onions till crisp and golden."", 
""Add dhania powder, jeera powder(cumin powder), chilli powder and then tomatoes."", ""Stir for a minute."", ""Add whipped curds."", ""Cook on reduced flame till oil floats on top."", ""Add salt, sugar, ground palak leaves, turmeric powder and cook for a few minutes."", ""Mix cashew-poppy paste and pour just enough water required for the gravy."", ""Cook on medium flame till gravy becomes thick."", ""Add paneer pieces."", ""Remove from heat."", ""Sprinkle garam masala powder."", ""Serve hot with finely cut onions and lime.""
)"
9290,17109,Chicken Curry,30.0,10.0,40,"c(""butter"", ""onions"", ""curry powder"", ""boneless skinless chicken breasts"", ""salt"", ""fresh ground black pepper"", ""cornstarch"", ""cold water"", ""heavy cream"", ""parsley"", ""pitted ripe olives"")",286.0,17.6,9.7,84.6,326.7,15.3,2.0,4.3,17.0,"c(""Heat butter in large frying pan."", ""Add onions and cook for 5 to 6 minutes over medium heat, stirring occasionally."", ""Lower temperature to low."", ""Mix in curry powder and cook for 3 to 4 minutes longer."", ""Add chicken and stir; season to taste with salt and pepper."", ""Cook 2 to 3 minutes over medium heat."", ""Pour in chicken stock and bring to a boil."", ""Continue cooking 9 to 10 minutes over medium low heat."", ""Mix cornstarch with water; stir into sauce."", ""Cook for a minute or so to blend."", 
""Pour in cream and bring to boil."", ""Simmer for 2 to 3 minutes."", ""Arrange chicken on serving platter."", ""Sprinkle with parsley and olives."")"
9954,18084,Onion Rings,15.0,15.0,30,"c(""sweet onions"", ""salt"", ""seasoning salt"", ""sugar"", ""paprika"", ""eggs"")",293.6,5.3,1.7,211.5,1015.1,53.6,2.3,10.9,10.3,"c(""Cut each onion into 4 thick slices."", ""Separate slices into rings reserving small rings for other uses."", ""Combine cereal, salt, sugar, and paprika."", ""Divide coating mixture into two small bowls."", ""Beat eggs until soft peaks have formed."", ""Dip half of onion rings into beaten eggs and then dredge in crumb mixture."", ""Place in a single layer on oiled baking sheet."", ""Repeat procedure with remaining onion rings and second bowl of crumb mixture."", ""Bake at 375ºF for 15 minutes until crisp."", ""Serve warm.""
)"
13030,22525,Butter Chicken,45.0,15.0,60,"c(""butter"", ""onion"", ""cinnamon"", ""garlic"", ""fresh ginger"", ""turmeric"", ""coriander powder"", ""chicken"", ""whole tomatoes"", ""tomato paste"")",433.9,31.7,11.8,120.6,226.2,10.7,2.7,5.3,27.1,"c(""In a large pan, heat the butter until it is frothy."", ""Add the onions and the cinnamon to the pan and fry lightly."", ""When the onions are soft, stir in the garlic and ginger, then add the turmeric, chilli and coriander, and saute over a medium heat."", ""Add the chicken and saute stirring constantly until the chicken meat turns white."", ""Add the ground almonds, tomatoes and tomato paste."", ""Mix thoroughly, cover and simmer for 20-30 minutes."", ""Add the yoghurt and heat through gently before serving.""
)"
